Date/Time,kWh del int,kVARh del int,kWh rec int,kVARh rec int,Vll ab mean,Vll bc mean,Vll ca mean,I a mean,I b mean,I c mean,Vll avg mean,I avg mean
01-02-2023 7:45:00000,567.075928,11.021770,0.000000,14.833878,23184.758,23260.408,23217.986,56.956264,56.508419,56.270939,23221.043,56.578510
01-02-2023 8:00:00000,566.924622,9.730322,0.000000,17.716597,23192.547,23270.061,23225.748,56.933754,56.467800,56.281322,23229.449,56.560944
01-02-2023 8:15:00000,568.919861,8.175611,0.000000,20.946100,23184.420,23262.754,23214.590,57.139828,56.681072,56.570343,23220.574,56.797073
01-02-2023 8:30:00000,571.987183,10.089088,0.000000,17.102856,23268.465,23346.033,23296.893,57.212353,56.782253,56.646393,23303.807,56.880329
01-02-2023 8:45:00000,571.950378,9.320763,0.000000,19.526268,23288.012,23367.426,23315.016,57.160122,56.717575,56.648060,23323.479,56.841827
01-02-2023 9:00:00000,547.831726,6.929143,0.000000,19.110247,23293.727,23376.619,23319.326,54.819511,54.184849,54.267410,23329.877,54.423923
01-02-2023 9:15:00000,505.193726,2.684960,0.000000,19.730358,23284.498,23373.568,23312.434,50.713924,49.811146,50.061687,23323.473,50.195591
01-02-2023 9:30:00000,505.320160,2.670925,0.000000,19.703421,23268.246,23355.838,23298.488,50.776119,49.877110,50.068748,23307.512,50.240643
01-02-2023 9:45:00000,505.513580,3.218632,0.000000,11.904141,23285.994,23374.945,23317.248,50.738750,49.805977,49.970806,23326.043,50.171879
01-02-2023 10:00:00000,505.591919,3.699643,0.000000,11.471370,23278.141,23365.855,23308.963,50.758850,49.848793,49.996044,23317.645,50.201263
01-02-2023 10:15:00000,505.617065,1.191965,0.000000,3.881579,23285.584,23376.047,23314.994,50.690479,49.748795,49.948460,23325.539,50.129227
01-02-2023 10:30:00000,505.648865,7.301088,0.000000,0.425897,23280.082,23372.703,23308.843750,50.709923,49.757935,49.959885,23320.551,50.142559
01-02-2023 10:45:00000,505.773621,18.466341,0.000000,0.000000,23285.115,23376.197,23313.514,50.747868,49.822189,49.940479,23324.955,50.170216
01-02-2023 11:00:00000,505.838043,15.306126,0.000000,0.000000,23286.426,23379.248,23317.811,50.766064,49.794785,49.922035,23327.828,50.160976
01-02-2023 11:15:00000,505.854614,25.571955,0.000000,0.000000,23274.836,23367.955,23303.984,50.821426,49.879856,49.990173,23315.604,50.230480
01-02-2023 11:30:00000,505.906342,23.659227,0.000000,0.000000,23295.086,23394.850,23325.447,50.792210,49.752571,49.986153,23338.455,50.176998
01-02-2023 11:45:00000,506.035919,19.845110,0.000000,0.000000,23280.893,23380.898,23311.307,50.809013,49.767082,50.023251,23324.367,50.199776
01-02-2023 12:00:00000,506.190765,11.201787,0.000000,0.000015,23289.445,23389.562500,23320.242,50.771523,49.720112,50.022247,23333.070,50.171345
